prompt,discriminability,difficulty_offset,feasibility
4c6dbcd7ff9543ebaf58828530520c9e,1.0246812,-0.52621084,0.33355194
4d384129b7e94d3696f41ef33def5d7b,1.1702851,0.9561259,0.75886303
51bbd55d7a3544ef973ab3243ec72e58,0.9851561,1.081358,0.8096109
5586be5b3ffd47ca82b02f25622eff23,0.90130854,0.46048155,0.5295427
5c87a317349a4d3db64f6acfee9f7878,0.7250208,-0.7597653,0.764219
5fb5f0024a2d45b6b97b2d06f6629629,1.3237147,-0.59675545,0.59686273
614c79e349404ce2b745d9ba09b8479c,0.94878894,0.6260907,0.80257124
62afda2faa784ae892cd470699d07d2b,1.1867082,1.2075937,0.840928
6439f3bdb44246e39f18b9848e668cd2,0.98240155,-0.32702217,0.64678544
6cd81c1a77d34ad997bcbdb6805ab6c8,1.0544406,0.49821386,0.48215592
6de7cfbaa6924063a3826a6663fe0a1c,1.2384669,0.32880557,0.82725275
7494a598c0e44257a7614404c5db8288,0.97958505,0.097383454,0.3290799
76a76fd8a93f44a3a545a0b6c179b04b,0.83054346,-0.97173405,0.7739295
76d555a33cd74b5581e0fdf88fad856d,1.0818119,0.094981186,0.3663803
78c49441f14b4dd1938fb3ff274e12c6,1.5085075,0.018981159,0.8307111
7a9863ef6042443aa9f2d2602b9fce9b,1.0012468,0.029720545,0.7977928
7cbc1979c11e474bbf80903812dcb15a,1.2038407,0.36562583,0.8497842
7e41e48ce6dd4f518a493a444f8d2c95,0.94656676,-0.14558434,0.38245264
7ef286c11d2a4e67ba9725003af127b6,0.867557,-1.2283032,0.82675594
81ae6ea7fa49414e9eec2f4b199d4c6d,1.0021416,-0.64718163,0.7038159
82ca2707a86640c994810cd59286207c,1.2163558,0.6665703,0.8718216
84ab211e4dcd4040a21883d6871ae4a7,1.3095778,-0.4038536,0.85870767
84b30d23536a43ecb7bcd76cda591092,1.4830037,-0.3107868,0.881313
883df670208e40f49405b6f506545a38,0.87311906,0.43870214,0.72841924
9169dac428964e81825d4cb9214f5b12,0.98449916,0.5140858,0.38148555
919733417eed48dfae8d93214a862103,1.301063,0.4686914,0.681239
94e4b3b55a5a410aab894746b13adb20,1.0378424,0.2405716,0.8285704
971ddada730543e292582ca6d4610db8,0.7865739,-0.51636934,0.75376374
9bb350d40699491bbafa63bd78d33afe,1.0531688,-0.00931031,0.81443185
9c2638b9f3944b05877b4eaf7e482eea,0.80093145,0.02455232,0.69582117
9db5b3a19c714019a2a5e946baed3727,0.84964037,-0.57634896,0.74207854
9e197238301847ee9959bc5fcbc9e214,0.870299,-0.20947288,0.29574966
9fe1fbbf69394c7c9fb56783efeaaddf,0.8278428,1.3407967,0.816883
a102b67a9e4a46b89057ff6077c93ad5,1.2110829,-1.070446,0.8823645
a6d2cf2b7c824fa7b0ea07ea1385bcbb,0.9388111,0.3512283,0.3071918
a7c3abfbbee241cebcf11e330389a924,0.83965063,0.30307654,0.5516914
a87633c13b114e0bb93ca38001639617,0.8717925,-0.593889,0.6749795
a980c86e7e104fa3adb082e3dcc1a6cc,1.207717,1.333956,0.85969466
affa698bb0b4473487720f0fa5e41cb4,1.3635036,-0.26604754,0.8681232
b00cdefcd41c4ed6bc2badfad65c3fec,0.95105,-0.08186657,0.38391632
b78d3f6d790e4aa596d07efa2aeb04e2,1.0761845,0.5764775,0.7553732
baf4af14547541af86300275baf32177,1.2760015,0.028120095,0.8420458
bc1df42e160a49e5a284734a3a02504c,1.1212044,-0.16245726,0.70775276
bd6be5aea2c444b4814605c1d0ec4c45,0.842356,-0.55150086,0.730186
be0c14b3d98b4ddeaf2a8716c43bbdf9,0.95585924,-0.12531286,0.43682447
c1ad792fab3d44129f51d6eaa179b5a8,1.0689598,1.777556,0.8818358
c684d18dc79a4db69f4f8635640f5e66,1.09765,0.20596947,0.75659233
c6e30b7b9f934f06aa14f45505263306,1.5250803,-0.26070583,0.860606
c6f79747146e4b469ac500d59100c228,1.1807889,0.3831469,0.5640886
c82e32894b7b4261924d395e707e23db,1.6231296,-0.24481633,0.8719521
ccd54b6f9cf540f48e53711d07b3813b,1.2855419,0.43000925,0.71104604
d147993d11c8438088ac508d00f6c9ea,1.0231674,0.6674336,0.37545297
d19a1769f04b44fb90c8a9c568fb3735,0.95333266,0.23050475,0.7573873
d6cfa22b696e43a5927361f3ec59f2af,1.0895615,1.1155362,0.8395627
d74b0988627e4283a0195b5feb452a1d,0.8475845,-0.29645565,0.67670584
d9bb58a5931e46a5bfe1a683ebb9fdde,0.9023947,-1.0612535,0.81540376
da1f8a77f1a64a4ba3c3c3a379b6fdca,1.1969644,0.37701088,0.5467453
dcace3da5ee345e4aa98a72ec4675021,0.9102713,-1.1310669,0.8521793
dd27f664055a42959248f068fa2abee4,0.79585373,-0.9679868,0.8723909
dd317a531bfc433a88c1a873b23a2409,0.79533994,-1.2121205,0.8715513
dd8e8d837ad8493bb83d0ef16a3367a5,0.9146376,0.12996106,0.55680126
de952d651a3c4a9c9330c5c943faeced,1.0540698,-0.11546189,0.37761447
e2c4ecd499b446ee9d54c03158ab30c1,0.9254297,-1.5473498,0.8764487
e6cbaa7e3ef04b53820a853363d3c4b4,0.7868683,-0.3861434,0.7649939
e79db1d99e4e41dcba0c904afe718808,1.1087617,-0.027739525,0.21567933
e890dd8dfb4842d59aa5fc98b0c984a6,0.7659829,0.895342,0.77492994
ed23eaef733544e283f9868db1a3646d,0.9098406,0.5576822,0.63548505
f198533b4abf4021916278ce6066ca6a,0.93431485,0.672071,0.82334626
